"Old Ward Code","New ward code","Ward","Borough","Year","Life_Expectancy","Childhood_Obesity","Incapacity_Benefit","Unemployment","Crime","Deliberate_Fires","GCSE_points","Unauthorised_Absence","Dependent_children","Public_Transport_Access","Homes_with_access"
"00ADGQ","E05000078","Longlands","Bexley",2009,80.8529147027348,18.2509505703422,3.20898279348446,2.96624048966838,48.6956626508257,0.292980071734729,361.41,0.75,12.27,2.56785030894957,2.79615420257361
"00ADGR","E05000079","North End","Bexley",2009,78.151327972752,25.5144032921811,7.2996521600298,7.81885913210619,119.871935960427,5.30784500737491,281.63,2.38,37.98,2.34490652032369,14.8464496922747
"00ADGS","E05000080","Northumberland Heath","Bexley",2009,81.3050981729487,19.3029490616622,4.26354614251479,3.97289587934405,92.5699546471401,0.379347001028734,313.33,0.83,17.76,2.09706319012712,-5.89918388442594
"00ADGT","E05000081","St Mary's","Bexley",2009,82.5955597725794,17.7536231884058,2.81409255726528,2.50342794889858,59.0021019553396,0.482300925767404,363.44,0.4,8.12,2.62493359762141,6.055038749848
"00ADGU","E05000082","St Michael's","Bexley",2009,81.7178818985406,19.1536748329621,3.52011423070017,4.06933875338538,58.7070248585566,0.545080767243447,325.27,0.97,14.23,2.01405136317112,-8.58503938362551
"00ADGW","E05000083","Sidcup","Bexley",2009,79.6260364862314,15.5642023346303,2.2414233342372,3.58106204128061,58.7923788945552,0.37285567266059,367.2,0.67,9.93,2.93937341712785,3.81959839150753
"00ADGX","E05000084","Thamesmead East","Bexley",2009,77.5766507544139,26.9058295964126,5.47556167804829,7.36974220685349,90.9926248771627,3.05843789519635,316.47,1.5,31.75,2.51529525564256,9.90606069873939
"00AEGJ","E05000085","Alperton","Brent",2009,80.1647742947988,18.5,4.25853437324012,4.10712417010652,83.7421688565992,0.579562504811654,323.66,1.01,22.46,2.91302536231884,-7.93685554397125
"00AEGK","E05000086","Barnhill","Brent",2009,79.5070095138109,27.8026905829596,5.6585645945336,6.32584764721009,94.0462695950315,0.325175533191572,336.95,0.83,30.84,2.84134955903466,6.82122412043527
"00AEGL","E05000087","Brondesbury Park","Brent",2009,82.0083647724376,18.0672268907563,4.8387281280612,5.38348475660911,102.167376993564,0.466103580915586,338.54,0.77,23.09,3.9420307593204,-14.658911358306
"00AEGM","E05000088","Dollis Hill","Brent",2009,82.2320151558156,20.824295010846,5.47292413468533,6.52108995867355,71.5706921003812,0.827573813468336,312.79,0.94,35.23,2.73206967537609,0.0718746759203031
"00AEGN","E05000089","Dudden Hill","Brent",2009,82.2430391566997,22.9166666666667,5.06111870812204,6.85678930652932,128.719503240079,0.471089266481396,334.33,1.17,35.7,3.37740914920906,-4.03403705480984
"00AEGP","E05000090","Fryent","Brent",2009,83.3983197000316,18.5750636132316,4.30908479822437,5.30848207370386,81.2107152421767,0.452546085444061,336.41,0.72,23.73,2.74624849506381,8.88110697731672
"00AEGQ","E05000091","Harlesden","Brent",2009,78.7924545175124,26.5124555160142,7.70792402854759,14.4901596609706,146.353150531372,0.800222398841624,290.5,1.19,43,3.71586257191475,-14.0504818346668
"00AEGR","E05000092","Kensal Green","Brent",2009,81.4525071444968,24.2021276595745,6.15361142702674,10.8120352271382,126.016024521983,0.63714013467129,330.04,0.92,30.03,3.92558624283481,-3.67599863032969
"00AEGS","E05000093","Kenton","Brent",2009,84.3397014217958,15.0684931506849,3.12734042969273,2.96811935164603,79.780875129614,0.572316650001877,366.35,0.65,15.32,2.58249699495152,-2.23336814894882
"00AEGT","E05000094","Kilburn","Brent",2009,79.1164689330299,24.822695035461,7.19873685491105,11.7530860412815,141.594669833171,0.422881101977891,331.91,1.22,38.19,5.37410335124073,-13.4480283215449
"00AEGU","E05000095","Mapesbury","Brent",2009,80.8961300911037,24.1635687732342,5.06486327663819,6.45659775839489,115.292240841878,0.591973591411962,301.7,1.06,28.44,4.54742082414063,-10.1666784894094
"00AEGW","E05000096","Northwick Park","Brent",2009,80.7434981414783,18.9710610932476,3.21432303923382,3.69117610389343,61.2059598230439,0.467747246621233,360.14,0.79,18.74,2.71895078013115,-1.11408103008255
"00AEGX","E05000097","Preston","Brent",2009,82.3755357306406,21.4611872146119,3.94405665805919,5.06194441997007,84.3354698528529,0.331991789503487,348.02,0.83,27.98,2.90608566673902,0.286284698101754
"00AEGY","E05000098","Queens Park","Brent",2009,81.5342649156698,18.9393939393939,4.76353908788829,6.70323084051759,125.57484824632,0.202497267146688,333.09,0.84,21.17,4.97665202828433,-5.05673935806201
"00AEGZ","E05000099","Queensbury","Brent",2009,83.4927579898511,23.2815964523282,3.96439885999324,4.71405536195284,100.146283145297,0.335709334279664,340.57,0.56,24.68,2.97231895076982,-0.768745907176192
"00AEHA","E05000100","Stonebridge","Brent",2009,79.4417229390832,28.1842818428184,8.4314089767597,12.4694000850255,92.9358416504123,1.83490551250303,305.49,1.3,47.18,2.88804831015934,-12.1161212220794
"00AEHB","E05000101","Sudbury","Brent",2009,81.5724862563785,23.0046948356808,4.88816901657774,5.17929571272421,87.3131819319478,0.275159618495691,351.99,1.07,23.87,3.25994320362269,4.41006465961203
"00AEHC","E05000102","Tokyngton","Brent",2009,80.8805087304249,23.2323232323232,3.66789644160063,5.52721789224015,90.6537630004564,0.481339180215679,323.07,0.82,26.06,3.03520133983834,-6.26544118372576
"00AEHD","E05000103","Welsh Harp","Brent",2009,82.1979230760162,27.0718232044199,5.27534593357039,6.74040329853392,96.4421358950064,1.10142000671849,329.98,1.05,30.96,2.74291631249517,8.56676387387504
"00AEHE","E05000104","Wembley Central","Brent",2009,80.098371070474,20.7792207792208,5.00695271950248,6.31257414898685,139.124814683497,0.924813097686984,327.8,0.84,24.67,4.67776938607642,-6.63404329709838
"00AEHF","E05000105","Willesden Green","Brent",2009,77.9920441455776,23.1738035264484,5.85555567723326,6.80994933793563,128.830120715038,0.793281543360017,305.2,0.93,37.02,4.37677673390439,-0.208391279267736
"00AFGD","E05000106","Bickley","Bromley",2009,80.2859296485767,13.8888888888889,2.79880980567282,2.78366774420648,63.3154714450364,0.472884607025747,371.91,0.52,9.55,2.25863203176704,-8.42981880420583
"00AFGE","E05000107","Biggin Hill","Bromley",2009,83.8708382109436,13.5135135135135,2.4376045573869,2.97536472990461,81.4250896694667,0.90397130291594,323.87,0.72,11.75,1.69731296585994,-1.42674910721809
"00AFGF","E05000108","Bromley Common and Keston","Bromley",2009,82.952085601096,15.1696606786427,4.16698973235397,4.46442222615976,69.3092518215552,0.672690298453529,337.38,0.78,18.36,2.28038590936078,11.9117343562612
"00AFGG","E05000109","Bromley Town","Bromley",2009,80.7237500270563,18.5534591194969,3.28817380483968,4.02091250466762,102.384037324081,1.41203763462232,346.95,0.63,14.37,3.75884091183211,-1.23063407677204
"00AFGH","E05000110","Chelsfield and Pratts Bottom","Bromley",2009,84.0682657066022,15.8767772511848,2.39467593716822,2.68907832670162,52.1335861214866,0.347951465528088,349.99,0.39,8.17,1.94538692376453,10.0825202911307
"00AFGJ","E05000111","Chislehurst","Bromley",2009,82.06973873007,15.8671586715867,2.10867361058907,3.07589823490873,85.7567086676793,1.49008261002246,356.94,0.62,10.69,2.15394029850746,6.82848003667719
"00AFGK","E05000112","Clock House","Bromley",2009,81.3500424521812,18.7301587301587,3.55102815568256,4.21637997890903,85.4349229828902,0.385908605835429,339.29,0.79,13.91,3.92240818279699,-2.89889666623169
"00AFGL","E05000113","Copers Cope","Bromley",2009,80.8181194487203,11.9170984455959,2.82377157593404,3.11825303969492,99.7836914671397,0.463597461029878,321.6,1.23,18.35,3.03724871746152,-4.95898588127402
"00AFGM","E05000114","Cray Valley East","Bromley",2009,79.7629025330308,22.3404255319149,5.87796152469321,5.86653826256275,129.592747677854,4.85814773537686,305.84,1.48,35.84,2.29564485019931,11.5438247571213
"00AFGN","E05000115","Cray Valley West","Bromley",2009,79.81703149823,21.2978369384359,7.22209208340329,7.005412849043,126.527227913507,2.29202119463954,314.46,1.15,32.89,2.25222202252576,-0.777249661763426
"00AFGP","E05000116","Crystal Palace","Bromley",2009,78.2827348155796,21.8181818181818,7.41947696236147,7.93379048247798,163.077440153954,1.66620846527012,292.04,1.88,38.02,4.36250806518323,11.5896410334829
"00AFGQ","E05000117","Darwin","Bromley",2009,82.6214765051782,17.8294573643411,2.61567835814159,2.46667113360983,70.7702818030413,1.59754626416014,334.63,1.15,14.72,1.25034642926263,7.18414306175276
"00AFGR","E05000118","Farnborough and Crofton","Bromley",2009,83.7861854990824,13.8144329896907,2.97560576892254,2.30443682011871,48.3942287366233,0.483131006254086,369.52,0.62,11.16,2.24326162198846,3.66025848783643
"00AFGS","E05000119","Hayes and Coney Hall","Bromley",2009,83.2015353142301,10.7334525939177,2.3047857353232,3.31720870690582,55.6419430540136,1.08608574583096,358.75,0.45,7.37,2.28093017179437,13.7512388482103
"00AFGT","E05000120","Kelsey and Eden Park","Bromley",2009,84.5435458105803,14.8373983739837,3.64892586421207,3.17315382574653,78.3054927735779,0.512714301858699,352.06,0.5,10.53,2.63530087596801,4.62593897718135
"00AFGU","E05000121","Mottingham and Chislehurst North","Bromley",2009,79.3184810442586,19.6428571428571,7.42320792261807,7.17826715761852,145.025411318804,1.40278252806476,309.89,1.94,36.02,2.58954743419807,5.4773956400567
"00AFGW","E05000122","Orpington","Bromley",2009,81.7704768631334,17.3697270471464,4.20362958486718,4.14629797491196,116.384575870985,1.44623751918123,325.7,1,23.2,2.72877469864546,-5.48051349524566
"00AFGX","E05000123","Penge and Cator","Bromley",2009,78.9509194146987,20.4592901878914,6.12682310706155,6.90346523115613,123.454865953709,1.22573719694847,325.35,1.69,31.19,3.93998122012292,4.05164431744661
"00AFGY","E05000124","Petts Wood and Knoll","Bromley",2009,85.57813079634,12.6470588235294,1.67030831875379,2.50384348103792,52.8767915623894,0.441157100041924,373.72,0.55,7.68,2.2619425130815,-0.438912212008387
"00AFGZ","E05000125","Plaistow and Sundridge","Bromley",2009,80.4664658579011,16.9312169312169,4.82742064320494,4.82541723040622,103.821522190655,0.871317741250957,334.27,0.95,22.17,2.82664383110467,0.345243488786918
